,date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_pvax,deaths_fvax,deaths_tat,ma
69,2021-03-11,9,1,4,0,0,0,3,6.714285714285714
70,2021-03-12,3,1,3,0,0,0,2,6.285714285714286
71,2021-03-13,3,0,3,0,0,0,2,5.714285714285714
72,2021-03-14,4,0,4,0,0,0,0,5.857142857142857
73,2021-03-15,3,0,4,0,0,0,2,5.142857142857143
74,2021-03-16,5,0,3,0,0,0,1,4.571428571428571
75,2021-03-17,2,0,2,0,0,0,3,4.142857142857143
76,2021-03-18,3,0,1,0,0,0,2,3.2857142857142856
77,2021-03-19,2,0,1,0,0,0,7,3.142857142857143
78,2021-03-20,4,0,5,1,0,0,15,3.2857142857142856
79,2021-03-21,4,0,5,1,0,0,15,3.2857142857142856
80,2021-03-22,5,1,2,0,0,0,1,3.5714285714285716
81,2021-03-23,1,0,2,2,0,0,1,3.0
82,2021-03-24,2,0,4,1,0,0,3,3.0
83,2021-03-25,2,0,2,0,0,0,0,2.857142857142857
84,2021-03-26,1,0,1,0,0,0,5,2.7142857142857144
85,2021-03-27,2,2,8,1,0,0,5,2.4285714285714284
86,2021-03-28,4,0,3,0,1,0,1,2.4285714285714284
87,2021-03-29,5,0,4,2,0,0,2,2.4285714285714284
88,2021-03-30,4,0,6,0,0,0,2,2.857142857142857
89,2021-03-31,8,1,9,2,0,0,2,3.7142857142857144
90,2021-04-01,6,2,3,0,0,0,1,4.285714285714286
91,2021-04-02,5,1,2,0,0,0,2,4.857142857142857
92,2021-04-03,3,1,5,0,0,0,2,5.0
93,2021-04-04,2,0,6,0,0,0,1,4.714285714285714
94,2021-04-05,7,0,4,1,0,0,4,5.0
95,2021-04-06,5,0,3,1,0,0,2,5.142857142857143
96,2021-04-07,4,0,2,0,0,0,1,4.571428571428571
97,2021-04-08,4,0,6,3,0,0,2,4.285714285714286
98,2021-04-09,5,2,7,2,0,0,13,4.285714285714286
99,2021-04-10,8,0,3,1,0,0,3,5.0
100,2021-04-11,8,1,6,3,0,0,36,5.857142857142857
101,2021-04-12,4,1,11,0,0,0,1,5.428571428571429
102,2021-04-13,12,5,5,1,0,0,2,6.428571428571429
103,2021-04-14,8,0,5,0,0,0,1,7.0
104,2021-04-15,10,1,4,0,0,0,1,7.857142857142857
105,2021-04-16,2,0,6,0,0,0,49,7.428571428571429
106,2021-04-17,5,0,11,2,0,0,4,7.0
107,2021-04-18,8,0,8,3,0,0,2,7.0
108,2021-04-19,8,0,10,3,0,0,1,7.571428571428571
109,2021-04-20,3,0,10,2,0,0,1,6.285714285714286
110,2021-04-21,11,3,9,1,0,0,2,6.714285714285714
111,2021-04-22,7,0,6,3,0,0,2,6.285714285714286
112,2021-04-23,8,3,15,4,0,0,3,7.142857142857143
113,2021-04-24,11,2,8,3,0,0,2,8.0
114,2021-04-25,10,0,21,2,0,0,2,8.285714285714286
115,2021-04-26,13,2,14,1,0,0,1,9.0
116,2021-04-27,13,2,10,2,0,0,2,10.428571428571429
117,2021-04-28,15,3,14,2,0,0,2,11.0
118,2021-04-29,15,3,22,3,0,0,3,12.142857142857142
119,2021-04-30,14,3,21,1,0,0,1,13.0
120,2021-05-01,15,0,16,4,0,0,2,13.571428571428571
121,2021-05-02,12,2,20,6,0,0,1,13.857142857142858
122,2021-05-03,18,0,23,1,2,0,3,14.571428571428571
123,2021-05-04,23,2,14,1,0,0,2,16.0
124,2021-05-05,17,2,30,5,1,0,2,16.285714285714285
125,2021-05-06,19,4,28,4,1,0,1,16.857142857142858
126,2021-05-07,22,3,31,4,0,0,1,18.0
127,2021-05-08,25,4,29,3,2,0,2,19.428571428571427
128,2021-05-09,26,4,21,2,0,0,2,21.428571428571427
129,2021-05-10,17,0,35,3,1,0,1,21.285714285714285
130,2021-05-11,22,2,44,2,0,0,2,21.142857142857142
131,2021-05-12,39,3,50,4,1,0,2,24.285714285714285
132,2021-05-13,27,3,38,2,2,0,2,25.428571428571427
133,2021-05-14,34,2,44,6,1,0,2,27.142857142857142
134,2021-05-15,44,0,48,9,2,0,2,29.857142857142858
135,2021-05-16,36,1,44,2,4,0,1,31.285714285714285
136,2021-05-17,45,3,51,7,3,0,2,35.285714285714285
137,2021-05-18,47,8,58,7,4,0,2,38.857142857142854
138,2021-05-19,46,5,52,9,3,0,2,39.857142857142854
139,2021-05-20,59,7,46,5,2,0,2,44.42857142857143
140,2021-05-21,50,3,60,7,1,0,2,46.714285714285715
141,2021-05-22,50,10,84,7,4,0,2,47.57142857142857
142,2021-05-23,49,6,69,9,4,0,2,49.42857142857143
143,2021-05-24,61,5,66,8,3,0,1,51.714285714285715
144,2021-05-25,60,4,74,6,3,0,1,53.57142857142857
145,2021-05-26,63,8,91,8,7,0,2,56.0
146,2021-05-27,59,3,63,8,6,0,2,56.0
147,2021-05-28,61,3,105,13,3,0,2,57.57142857142857
148,2021-05-29,98,9,75,2,1,0,2,64.42857142857143
149,2021-05-30,79,8,109,14,6,0,2,68.71428571428571
150,2021-05-31,67,8,97,11,7,0,1,69.57142857142857
151,2021-06-01,71,5,94,10,8,0,2,71.14285714285714
152,2021-06-02,126,10,87,9,2,0,3,80.14285714285714
153,2021-06-03,103,9,110,5,3,0,2,86.42857142857143
154,2021-06-04,86,7,83,7,3,0,1,90.0
155,2021-06-05,109,9,90,9,7,0,2,91.57142857142857
156,2021-06-06,87,6,79,13,4,0,1,92.71428571428571
157,2021-06-07,82,6,83,9,2,1,2,94.85714285714286
158,2021-06-08,76,5,73,13,2,0,2,95.57142857142857
159,2021-06-09,75,11,93,9,5,0,2,88.28571428571429
160,2021-06-10,73,6,68,6,7,0,2,84.0
161,2021-06-11,84,16,66,2,5,0,2,83.71428571428571
162,2021-06-12,76,5,83,7,4,0,2,79.0
163,2021-06-13,64,6,73,6,5,1,1,75.71428571428571
164,2021-06-14,60,3,91,8,5,0,2,72.57142857142857
165,2021-06-15,101,9,79,10,5,0,2,76.14285714285714
166,2021-06-16,73,9,81,12,5,0,2,75.85714285714286
167,2021-06-17,60,2,81,11,5,0,2,74.0
168,2021-06-18,74,6,81,11,8,0,2,72.57142857142857
169,2021-06-19,72,11,67,13,4,0,2,72.0
170,2021-06-20,60,7,75,11,11,0,2,71.42857142857143
171,2021-06-21,69,5,81,12,9,0,2,72.71428571428571
172,2021-06-22,77,11,88,13,10,0,2,69.28571428571429
173,2021-06-23,83,10,84,11,12,0,2,70.71428571428571
174,2021-06-24,84,11,80,15,12,0,2,74.14285714285714
175,2021-06-25,82,17,78,5,12,0,2,75.28571428571429
176,2021-06-26,81,10,87,13,13,0,2,76.57142857142857
177,2021-06-27,60,9,72,12,15,1,2,76.57142857142857
178,2021-06-28,57,4,91,7,10,1,1,74.85714285714286
179,2021-06-29,107,14,91,20,16,1,3,79.14285714285714
180,2021-06-30,62,7,109,14,22,0,2,76.14285714285714
181,2021-07-01,84,9,98,19,12,1,2,76.14285714285714
182,2021-07-02,73,13,107,18,11,2,2,74.85714285714286
183,2021-07-03,107,14,116,14,25,1,2,78.57142857142857
184,2021-07-04,63,7,114,14,19,1,2,79.0
185,2021-07-05,77,13,100,16,22,0,2,81.85714285714286
186,2021-07-06,103,12,113,12,29,0,3,81.28571428571429
187,2021-07-07,91,10,155,17,32,0,3,85.42857142857143
188,2021-07-08,135,20,158,38,39,2,3,92.71428571428571
189,2021-07-09,77,8,182,24,55,5,2,93.28571428571429
190,2021-07-10,87,8,149,32,35,3,3,90.42857142857143
191,2021-07-11,90,10,184,34,49,1,2,94.28571428571429
192,2021-07-12,103,14,176,51,45,3,2,98.0
193,2021-07-13,125,16,193,28,48,1,2,101.14285714285714
194,2021-07-14,118,13,179,34,52,3,2,105.0
195,2021-07-15,110,15,209,35,54,2,2,101.42857142857143
